SC;LA;PER;Opción Permuta;COMMON;N;S;1;S;
TC;LP;Licitación Pública;S;CENTRALIZED;S;0;S;S;S;S;N;S;
SC;LP;ACM;Acuerdo Marco;CENTRALIZED;N;S;x>=0;S;
SC;LP;COM;Común;COMMON;S;S;x>=0;S;
SC;LP;PER;Opción Permuta;COMMON;N;S;1;S;
TC;EI;Llamado a Expresión de Interés;N;COMMON;N;0;N;N;S;N;;N;
SC;EI;INT;Internacional;COMMON;N;S;;
SC;EI;NAC;Nacional;COMMON;N;S;;
TC;PR;Pregón;S;COMMON;S;0;S;S;S;S;N;S;
SC;PR;COM;Común;COMMON;S;S;x>0;S;
TC;SI;Solicitud de Información;N;COMMON;N;;N;N;S;N;;N;
SC;SI;INT;Internacional;COMMON;N;S;;
SC;SI;NAC;Nacional;COMMON;N;S;;
TC;VD;Venta/Arrendamiento Directa;N;COMMON;S;;N;N;N;S;S;N;
SC;VD;COM;Común;COMMON;N;;x<=0;N;
TC;VA;Venta/Arrendamiento Licitación Abreviada;N;COMMON;S;;S;S;S;S;S;N;
SC;VA;COM;Común;COMMON;N;S;x<=0;N;
TC;VL;Venta/Arrendamiento Licitación Pública;N;COMMON;S;;S;S;S;S;N;N;
SC;VL;COM;Común;COMMON;N;S;x<=0;N;
TC;VR;Venta/Arrendamiento por Remate;N;COMMON;S;0;N;S;S;S;N;N;
SC;VR;COM;Común;COMMON;N;S;x<=0;N;
